LAYER,SYMBOL,COUNT,FEATURES,FONT,STYLE,COLOUR,SIZE,OFFSET,PLACEMENT,TEXTANCHOR,LABELANCHA
ATT-conditalic-black-height-19-tp-37,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0019 and text_place in (37),,,,,,,,,,
ATT-conditalic-black-height-24-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0024 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-24-tp-4,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0024 and text_place in (4),,,,,,,,,,
ATT-conditalic-black-height-31-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0031 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-41-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 4.1 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-41-tp-5,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 4.1 and text_place in (5),,,,,,,,,,
ATT-conditalic-black-height-42-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 4.2 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-75-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-75-tp-6,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (6),,,,,,,,,,
ATT-conditalic-black-height-75-tp-31,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (31),,,,,,,,,,
ATT-conditalic-black-height-75-tp-33,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (33),,,,,,,,,,
ATT-conditalic-black-height-41-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 4.1 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-75-tp-21,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (21),,,,,,,,,,
ATT-conditalic-black-height-75-tp-33,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (33),,,,,,,,,,
ATT-conditalic-black-height-75-tp-34,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (34),,,,,,,,,,
ATT-conditalic-black-height-75-tp-61,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (61),,,,,,,,,,
ATT-condbold-black-height-19-tp-34,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0019 and text_place = 34,,,,,,,,,,
ATT-condbold-black-height-19-tp-36,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0019 and text_place = 36,,,,,,,,,,
ATT-condbold-black-height-22-tp-1,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0022 and text_place = 1,178.0,,,,,,,,,
ATT-condbold-black-height-24-tp-1,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0024 and text_place = 1,,,,,,,,,,
ATT-condbold-black-height-29-tp-1,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0029 and text_place = 1,122.0,,,,,,,,,
ATT-condbold-black-height-29-tp-34,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0029 and text_place = 34,,,,,,,,,,
ATT-condbold-black-height-31-tp-1,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0031 and text_place = 1,,,,,,,,,,
ATT-condbold-black-height-34-tp-1,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0034 and text_place = 1,,,,,,,,,,
ATT-condbold-black-height-43-tp-1,text_font = ATTriumMou-CondBold and text_colour = 9 and text_height = 0.0043 and text_place = 1,,,,,,,,,,
ATT-conditalic-black-height-75-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place = 1,86274.0,height,ATTriumMou ,CondItalic ,Black,5,-0.5,AL,,
ATT-conditalic-black-height-75-tp-3,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 75 and text_place in (3),2224.0,height,ATTriumMou ,CondItalic ,Black,5,-0.1,BL,,
ATT-conditalic-blue-height-17-tp-2,text_font = ATTriumMou-CondItalic and text_colour = 6 and text_height = 0.0017 and text_place in (2),,,,,,,,,,
